,x_coord,y_coord,BillNo,BillName,cluster_no
287,23.013615,28.99872,2102603,  부가가치세법 일부개정법률안,0
288,3.8066761,4.0715737,2102549,  방송법 일부개정법률안,2
289,-0.38959053,-8.686827,2102592,  초·중등교육법 일부개정법률안,2
290,2.450004,5.5610576,2102580,  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2
291,-0.38959047,-8.686826,2102592,  초·중등교육법 일부개정법률안,2
292,2.4497557,5.560866,2102580,  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2
293,22.091549,29.113697,2102603,  부가가치세법 일부개정법률안,0
294,3.8069355,4.0717573,2102549,  방송법 일부개정법률안,2
295,-7.615801,-20.569365,2102648,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
296,-7.6161637,-20.570269,2102648,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
297,3.6911347,0.94957906,2102656,  상법 일부개정법률안,2
298,1.4791809,-6.025805,2102680,  아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안,2
299,7.2182407,-1.0418737,2102676,  장애인고용촉진 및 직업재활법 일부개정법률안,2
300,9.727342,-15.244648,2102686,  한국교육방송공사법 일부개정법률안,2
301,-19.890766,12.165938,2102689,  대부업 등의 등록 및 금융이용자 보호에 관한 법률 일부개정법률안,2
302,-7.604854,-30.133926,2102662,  과학기술분야 정부출연연구기관 등의 설립·운영 및 육성에 관한 법률 일부개정법률안,2
303,14.394788,19.14764,2102669,  조세특례제한법 일부개정법률안,0
304,9.963938,2.3505833,2102670,  해외진출기업의 국내복귀 지원에 관한 법률 일부개정법률안,2
305,-20.58429,11.266319,2102690,  이자제한법 일부개정법률안,2
306,7.2180967,-1.0417843,2102676,  장애인고용촉진 및 직업재활법 일부개정법률안,2
307,9.7276325,-15.245347,2102686,  한국교육방송공사법 일부개정법률안,2
308,1.4792315,-6.025738,2102680,  아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안,2
309,14.3946495,19.147709,2102669,  조세특례제한법 일부개정법률안,0
310,3.6912785,0.94931614,2102656,  상법 일부개정법률안,2
311,9.963928,2.350634,2102670,  해외진출기업의 국내복귀 지원에 관한 법률 일부개정법률안,2
312,-7.604879,-30.133924,2102662,  과학기술분야 정부출연연구기관 등의 설립·운영 및 육성에 관한 법률 일부개정법률안,2
313,-20.35982,12.355848,2102689,  대부업 등의 등록 및 금융이용자 보호에 관한 법률 일부개정법률안,2
314,-19.997705,11.199641,2102690,  이자제한법 일부개정법률안,2
315,-11.240385,-8.535012,2102716,  초·중등교육법 일부개정법률안,2
316,-9.4354725,10.623162,2102709,  산업재해보상보험법 일부개정법률안,2
317,10.319356,28.22905,2102698,  지방세특례제한법 일부개정법률안,0
318,11.221129,27.297182,2102699,  조세특례제한법 일부개정법률안,0
319,16.584019,-4.251027,2102702,  인천국제공항공사법 일부개정법률안,2
320,15.456244,-10.2007,2102711,  비대면중소벤처기업 육성에 관한 법률안,2
321,10.70512,28.509905,2102698,  지방세특례제한법 일부개정법률안,0
322,11.221129,27.297182,2102699,  조세특례제한법 일부개정법률안,0
323,16.552357,-5.674165,2102702,  인천국제공항공사법 일부개정법률안,2
324,-11.240328,-8.534939,2102716,  초·중등교육법 일부개정법률안,2
325,15.456394,-10.201518,2102711,  비대면중소벤처기업 육성에 관한 법률안,2
326,-9.4354725,10.623162,2102709,  산업재해보상보험법 일부개정법률안,2
327,-7.2210855,9.582569,2102813,  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2
328,24.253164,26.918848,2102805,  부가가치세법 일부개정법률안,0
329,9.011831,20.453764,2102778,  조세특례제한법 일부개정법률안,0
330,23.415455,26.928654,2102805,  부가가치세법 일부개정법률안,0
331,-7.2210855,9.582569,2102813,  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2
332,9.011831,20.453764,2102778,  조세특례제한법 일부개정법률안,0
333,6.388542,-8.514531,2102840,  방송법 일부개정법률안,2
334,6.548193,-18.575052,2102845,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
335,6.850028,-18.977444,2102845,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
336,6.388474,-8.514225,2102840,  방송법 일부개정법률안,2
337,1.3919892,-21.584639,2102875,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
338,0.8209583,-21.49428,2102875,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
339,17.270826,-5.3951197,2102946,  인천국제공항공사법 일부개정법률안,2
340,15.870781,-4.5566573,2102946,  인천국제공항공사법 일부개정법률안,2
341,23.41479,24.705183,2102981,  부가가치세법 일부개정법률안,0
342,24.027906,24.314215,2102981,  부가가치세법 일부개정법률안,0
343,7.221326,24.067144,2103034,  지방세특례제한법 일부개정법률안,0
344,7.2221193,24.067816,2103034,  지방세특례제한법 일부개정법률안,0
345,-2.2216954,12.430399,2103051,  장애인차별금지 및 권리구제 등에 관한 법률 일부개정법률안,2
346,-1.6465513,7.4735107,2103062,  유통산업발전법 일부개정법률안,2
347,-2.221744,12.430412,2103051,  장애인차별금지 및 권리구제 등에 관한 법률 일부개정법률안,2
348,-1.646552,7.473509,2103062,  유통산업발전법 일부개정법률안,2
349,-13.680333,-15.857553,2103104,  재난 및 안전관리 기본법 일부개정법률안,2
350,4.134577,15.377829,2103103,  조세특례제한법 일부개정법률안,2
351,-16.495668,-35.5215,2103122,  생활체육진흥법 일부개정법률안,2
352,-16.789337,-33.05839,2103123,  학교체육 진흥법 일부개정법률안,2
353,-15.932725,-34.1308,2103124,  씨름 진흥법 일부개정법률안,2
354,-18.195032,-34.298164,2103125,  관광기본법 일부개정법률안,2
355,-28.75291,14.114592,2103101,  지방재정법 일부개정법률안,1
356,-20.568172,-13.21331,2103100,  고등교육법 일부개정법률안,2
357,0.070348784,-2.8264096,2103098,  자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,2
358,-17.87472,-35.694157,2103092,  전통무예진흥법 일부개정법률안,2
359,-17.613037,-37.03538,2103093,  태권도 진흥 및 태권도공원 조성 등에 관한 법률 일부개정법률안,2
360,-19.393358,-36.22535,2103094,  스포츠산업 진흥법 일부개정법률안,2
361,-18.995562,-33.410603,2103095,  국제회의산업 육성에 관한 법률 일부개정법률안,2
362,-14.972447,-35.27766,2103097,  체육시설의 설치·이용에 관한 법률 일부개정법률안,2
363,-1.3811893,-22.786098,2103086,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
364,-20.773066,-12.669726,2103100,  고등교육법 일부개정법률안,2
365,-29.06621,15.018445,2103101,  지방재정법 일부개정법률안,1
366,4.134801,15.378723,2103103,  조세특례제한법 일부개정법률안,2
367,-13.680415,-15.857537,2103104,  재난 및 안전관리 기본법 일부개정법률안,2
368,-18.681093,-34.95647,2103125,  관광기본법 일부개정법률안,2
369,-16.61404,-34.345318,2103124,  씨름 진흥법 일부개정법률안,2
370,-16.564854,-36.317047,2103122,  생활체육진흥법 일부개정법률안,2
371,-17.445293,-33.13476,2103123,  학교체육 진흥법 일부개정법률안,2
372,0.07014074,-2.8263285,2103098,  자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,2
373,-15.129598,-36.02348,2103097,  체육시설의 설치·이용에 관한 법률 일부개정법률안,2
374,-1.3811893,-22.786098,2103086,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
375,-17.493338,-35.021816,2103092,  전통무예진흥법 일부개정법률안,2
